agency,borough,complaint_type,latitude,longitude
NYPD,BRONX,Noise - Street/Sidewalk,40.84531089101182,-73.88455826665003
NYPD,BRONX,Blocked Driveway,40.80967566592725,-73.85274426737607
NYPD,QUEENS,Illegal Parking,40.71801925826836,-73.90033759153772
NYPD,BRONX,Noise - Street/Sidewalk,40.82969932201079,-73.91312465253877
NYPD,BROOKLYN,Illegal Parking,40.67585531871112,-73.97148329180939
NYPD,MANHATTAN,Noise - Residential,40.799120608760695,-73.95069140272116
NYPD,BRONX,Noise - Street/Sidewalk,40.854814404843246,-73.89159795767854
NYPD,QUEENS,Illegal Parking,40.69615614278505,-73.89603917107037
DEP,BROOKLYN,Noise,40.6406252857506,-73.9040924632139
NYPD,BROOKLYN,Noise - Vehicle,40.60844087431012,-74.01140236757081
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.57761968674616,-73.99037761720334
NYPD,QUEENS,Noise - Street/Sidewalk,40.68659956588287,-73.82981677825136
NYPD,MANHATTAN,Illegal Parking,40.863330192832926,-73.92915077564977
NYPD,QUEENS,Abandoned Vehicle,40.750919620215214,-73.90905514358673
NYPD,QUEENS,Illegal Parking,40.793667802456284,-73.84394586948869
NYPD,BROOKLYN,Blocked Driveway,40.65827326533704,-73.91693768232341
DEP,MANHATTAN,Noise,40.86323822887115,-73.92692384541492
NYPD,MANHATTAN,Animal-Abuse,40.79192894535997,-73.94959885374493
NYPD,BRONX,Noise - Street/Sidewalk,40.83024108251839,-73.92229142758929
NYPD,QUEENS,Blocked Driveway,40.72667547427228,-73.85780194723641
NYPD,BRONX,Blocked Driveway,40.885351866927735,-73.8631513238293
NYPD,MANHATTAN,Noise - Park,40.7969168776428,-73.93974235094362
DEP,BRONX,Water System,40.87002316521875,-73.86822312473834
NYPD,QUEENS,Blocked Driveway,40.5932242606403,-73.7753422050714
NYPD,QUEENS,Blocked Driveway,40.703109844313396,-73.87771389411027
NYPD,BROOKLYN,Illegal Parking,40.6241743117926,-73.909065740711
NYPD,BROOKLYN,Blocked Driveway,40.6833423915266,-73.87551830538358
DOHMH,BRONX,Rodent,40.83141057308959,-73.90110004769986
DOT,MANHATTAN,Street Condition,40.84019455451638,-73.94306422041075
NYPD,MANHATTAN,Noise - Residential,40.7212527472063,-73.97962426334347
NYPD,BROOKLYN,Noise - Residential,40.702235961032216,-73.92438818825464
NYPD,BRONX,Noise - Vehicle,40.8444220815829,-73.92504340267622
NYPD,BROOKLYN,Illegal Parking,40.64759268984079,-74.00990995289105
DOB,QUEENS,Building/Use,40.68891479910403,-73.84036161208607
NYPD,QUEENS,Illegal Parking,40.733632759746,-73.89869773178043
NYPD,BROOKLYN,Noise - Residential,40.702235961032216,-73.92438818825464
NYPD,QUEENS,Noise - Street/Sidewalk,40.73902890882242,-73.91951456476
NYPD,BRONX,Noise - Street/Sidewalk,40.82039972177928,-73.89594623836079
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.66223423176152,-73.95078538055837
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.719802522353255,-74.00340550224801
NYPD,QUEENS,Blocked Driveway,40.687533597490834,-73.86107293058014
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.77852057061304,-73.95540779520229
NYPD,BROOKLYN,Illegal Parking,40.64759268984079,-74.00990995289105
NYPD,BROOKLYN,Blocked Driveway,40.638317300123724,-73.91141011462686
DOB,MANHATTAN,Elevator,40.86836913616058,-73.92432221719166
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.76247991988204,-73.98653170516866
NYPD,MANHATTAN,Noise - Residential,40.825716808303696,-73.93889967226517
NYPD,QUEENS,Illegal Parking,40.767813772305004,-73.91292378965511
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.82936790695468,-73.94563543124734
NYPD,BRONX,Noise - Commercial,40.81778055566995,-73.91901468383806
NYPD,MANHATTAN,Noise - Commercial,40.73122069410042,-74.00395813146663
NYPD,BRONX,Noise - Residential,40.83888818475518,-73.91624597626375
NYPD,BROOKLYN,Noise - Residential,40.575774766806454,-73.96193990042559
NYPD,QUEENS,Noise - Residential,40.76531348659365,-73.92486890626728
NYPD,BRONX,Noise - Street/Sidewalk,40.84617346978255,-73.88257247504518
NYPD,BROOKLYN,Noise - Street/Sidewalk,40.66355282900036,-73.92281722872988
NYPD,QUEENS,Noise - Park,40.685210860122304,-73.84145217676824
NYPD,QUEENS,Illegal Parking,40.72638960102182,-73.74715580017106
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.761884745900566,-73.99099354187713
DOB,MANHATTAN,Special Projects Inspection Team (SPIT),40.759757468918274,-73.98978458418131
NYPD,BRONX,Noise - Street/Sidewalk,40.86828062265725,-73.89534705669692
NYPD,BROOKLYN,Illegal Parking,40.656395937842774,-73.92508167314388
NYPD,STATEN ISLAND,Animal-Abuse,40.64012593540571,-74.08882289250542
NYPD,BROOKLYN,Blocked Driveway,40.59062725663803,-73.94293135581003
NYPD,MANHATTAN,Noise - Street/Sidewalk,40.80404070600767,-73.95445155530949
NYPD,BRONX,Noise - Residential,40.85666696328548,-73.86542269585776
